date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2023/7/14,17,26,11,3,0.43,70,34
2023/7/15,7,14,7,2,0.24,88,28
2023/7/16,11,20,14,2,0.26,89,30
2023/7/17,21,43,20,2,0.45,131,65
2023/7/18,27,51,20,2,0.48,133,68
2023/7/19,32,57,20,2,0.5,147,74
2023/7/20,34,62,21,2,0.52,138,71
2023/7/21,31,44,12,2,0.62,96,45
2023/7/22,23,29,10,3,0.58,65,34
2023/7/23,17,28,15,2,0.5,80,37
2023/7/24,31,52,16,2,0.58,124,61
2023/7/25,7,14,10,3,0.33,128,50
2023/7/26,32,52,14,3,0.64,116,57
2023/7/27,27,41,16,3,0.54,102,49
2023/7/28,11,22,15,3,0.41,71,26
2023/7/29,16,29,16,3,0.49,43,29
2023/7/30,4,7,7,3,0.37,29,11
2023/7/31,11,15,8,3,0.38,26,17
2023/8/1,20,27,11,3,0.5,33,30
2023/8/2,25,34,9,3,0.49,65,37
2023/8/3,40,56,10,3,0.55,75,57
2023/8/4,27,39,15,3,0.52,74,44
2023/8/5,14,27,15,2,0.37,70,33
2023/8/6,16,32,13,2,0.6,71,32
2023/8/7,26,47,17,2,0.53,64,46
2023/8/8,37,54,17,3,0.6,88,55
2023/8/9,50,70,15,3,0.78,107,70
2023/8/10,49,71,13,2,0.89,110,71
2023/8/11,43,65,20,2,0.68,62,62
2023/8/12,9,12,9,2,0.46,77,26
2023/8/13,11,20,13,2,0.46,82,30
2023/8/14,19,37,16,2,0.44,99,44
2023/8/15,25,48,16,2,0.51,107,54
2023/8/16,30,54,14,2,0.56,122,61
2023/8/17,26,42,13,2,0.6,126,56
2023/8/18,23,52,17,2,0.37,82,51
2023/8/19,23,56,22,2,0.42,113,65
2023/8/20,35,63,19,2,0.58,94,55
2023/8/21,10,18,11,3,0.43,110,38
2023/8/22,6,17,15,3,0.27,69,25
2023/8/23,9,23,16,2,0.32,86,29
